MPA_Name,MPA_designation,MPA_study_region,SubSection,PreText,Coordinate,PostText,Lat,Long,LongDDM,LatDDM,SortOrder,PositionID
Lover's Cove (Catalina Island) State Marine Conservation Area,SMCA,SC,128, ,33Á 20.711' N. lat. 118Á 19.321' W. long., ,33.34518333,-118.3220167,118Á 19.321' W,33Á 20.711' N,3,128_3
Matlahuayl State Marine Reserve,SMR,SC,142,(A) This area is bounded by the mean high tide line and straight lines connecting the following points in the order listed:,32Á 51.964' N. lat. 117Á 15.233' W. long.;, ,32.866067,-117.253883,117Á 15.233' W,32Á 51.964' N,1,142_1
Matlahuayl State Marine Reserve,SMR,SC,142, ,32Á 51.964' N. lat. 117Á 16.400' W. long.;,and,32.866067,-117.273333,117Á 16.400' W,32Á 51.964' N,2,142_2
Matlahuayl State Marine Reserve,SMR,SC,142, ,32Á 51.067' N. lat. 117Á 16.400' W. long., ,32.851117,-117.273333,117Á 16.400' W,32Á 51.067' N,3,142_3
Naples State Marine Conservation Area,SMCA,SC,98,(A) This area is bounded by the mean high tide line and straight lines connecting the following points in the order listed:,34Á 26.510' N. lat. 119Á 58.000' W. long.;, ,34.441833,-119.966667,119Á 58.000' W,34Á 26.510' N,1,98_1
Naples State Marine Conservation Area,SMCA,SC,98, ,34Á 25.000' N. lat. 119Á 58.000' W. long.;, ,34.416667,-119.966667,119Á 58.000' W,34Á 25.000' N,2,98_2
Naples State Marine Conservation Area,SMCA,SC,98, ,34Á 25.000' N. lat. 119Á 56.000' W. long.;,and,34.416667,-119.933333,119Á 56.000' W,34Á 25.000' N,3,98_3
Naples State Marine Conservation Area,SMCA,SC,98, ,34Á 26.130' N. lat. 119Á 56.000' W. long., ,34.4355,-119.933333,119Á 56.000' W,34Á 26.130' N,4,98_4
Painted Cave (Santa Cruz Island) State Marine Conservation Area,SMCA,SC,108,(A) This area is bounded by the mean high tide line and straight lines connecting the following points in the order listed except where noted:,34Á 04.492' N. lat. 119Á 53.000' W. long.;, ,34.074867,-119.883333,119Á 53.000' W,34Á 4.492' N,1,108_1
Painted Cave (Santa Cruz Island) State Marine Conservation Area,SMCA,SC,108, ,34Á 05.200' N. lat. 119Á 53.000' W. long.;,thence eastward along a line one nautical mile offshore to,34.086667,-119.883333,119Á 53.000' W,34Á 5.200' N,2,108_2
Painted Cave (Santa Cruz Island) State Marine Conservation Area,SMCA,SC,108, ,34Á 05.000' N. lat. 119Á 51.000' W. long.;,and,34.083333,-119.85,119Á 51.000' W,34Á 5.000' N,3,108_3
Painted Cave (Santa Cruz Island) State Marine Conservation Area,SMCA,SC,108, ,34Á 04.034' N. lat. 119Á 51.000' W. long., ,34.067233,-119.85,119Á 51.000' W,34Á 4.034' N,4,108_4
Point Conception State Marine Reserve,SMR,SC,96,(A) This area is bounded by the mean high tide line and straight lines connecting the following points in the order listed except where noted:,34Á 27.000' N. lat. 120Á 28.280' W. long.;, ,34.45,-120.471333,120Á 28.280' W,34Á 27.000' N,1,96_1
Point Conception State Marine Reserve,SMR,SC,96, ,34Á 27.000' N. lat. 120Á 32.150' W. long.;,thence southeastward along the three nautical mile offshore boundary to,34.45,-120.535833,120Á 32.150' W,34Á 27.000' N,2,96_2
Point Conception State Marine Reserve,SMR,SC,96, ,34Á 23.960' N. lat. 120Á 25.000' W. long.;,and,34.399333,-120.416667,120Á 25.000' W,34Á 23.960' N,3,96_3
Point Conception State Marine Reserve,SMR,SC,96, ,34Á 27.190' N. lat. 120Á 25.000' W. long., ,34.453167,-120.416667,120Á 25.000' W,34Á 27.190' N,4,96_4
Point Dume State Marine Conservation Area,SMCA,SC,117,(A) This area is bounded by the mean high tide line and straight lines connecting the following points in the order listed except where noted:,34Á 02.280' N. lat. 118Á 53.000' W. long.;, ,34.038,-118.883333,118Á 53.000' W,34Á 2.280' N,1,117_1
Point Dume State Marine Conservation Area,SMCA,SC,117, ,33Á 59.140' N. lat. 118Á 53.000' W. long.;,thence southeastward along the three nautical mile offshore boundary to,33.985667,-118.883333,118Á 53.000' W,33Á 59.140' N,2,117_2
Point Dume State Marine Conservation Area,SMCA,SC,117, ,33Á 56.960' N. lat. 118Á 49.200' W. long.;,and,33.949333,-118.82,118Á 49.200' W,33Á 56.960' N,3,117_3
Point Dume State Marine Conservation Area,SMCA,SC,117, ,34Á 00.760' N. lat. 118Á 49.200' W. long., ,34.012667,-118.82,118Á 49.200' W,34Á 0.760' N,4,117_4
Point Dume State Marine Reserve,SMR,SC,118,(A) This area is bounded by the mean high tide line and straight lines connecting the following points in the order listed except where noted:,34Á 00.760' N. lat. 118Á 49.200' W. long.;, ,34.012667,-118.82,118Á 49.200' W,34Á 0.760' N,1,118_1
Point Dume State Marine Reserve,SMR,SC,118, ,33Á 56.960' N. lat. 118Á 49.200' W. long.;,thence eastward along the three nautical mile offshore boundary to,33.949333,-118.82,118Á 49.200' W,33Á 56.960' N,2,118_2
Point Dume State Marine Reserve,SMR,SC,118, ,33Á 57.060' N. lat. 118Á 47.260' W. long.;,and,33.951,-118.787667,118Á 47.260' W,33Á 57.060' N,3,118_3
Point Dume State Marine Reserve,SMR,SC,118, ,34Á 01.200' N. lat. 118Á 47.260' W. long., ,34.02,-118.787667,118Á 47.260' W,34Á 1.200' N,4,118_4
Point Vicente State Marine Conservation Area,SMCA (No-Take),SC,119,(A) This area is bounded by the mean high tide line and straight lines connecting the following points in the order listed except where noted:,33Á 44.800' N. lat. 118Á 24.820' W. long.;, ,33.746667,-118.413667,118Á 24.820' W,33Á 44.800' N,1,119_1
Point Vicente State Marine Conservation Area,SMCA (No-Take),SC,119, ,33Á 44.800' N. lat. 118Á 28.930' W. long.;,thence southeastward along the three nautical mile offshore boundary to,33.746667,-118.482167,118Á 28.930' W,33Á 44.800' N,2,119_2
Point Vicente State Marine Conservation Area,SMCA (No-Take),SC,119, ,33Á 41.160' N. lat. 118Á 23.800' W. long.;,and,33.686,-118.396667,118Á 23.800' W,33Á 41.160' N,3,119_3
Point Vicente State Marine Conservation Area,SMCA (No-Take),SC,119, ,33Á 44.190' N. lat. 118Á 23.800' W. long., ,33.7365,-118.396667,118Á 23.800' W,33Á 44.190' N,4,119_4
Richardson Rock (San Miguel Island) State Marine Reserve,SMR,SC,101,(A) This area is bounded by the mean high tide line of Richardson Rock and straight lines connecting the following points in the order listed except where noted:,34Á 07.905' N. lat. 120Á 28.200' W. long.;, ,34.13175,-120.47,120Á 28.200' W,34Á 7.905' N,2,101_2
Richardson Rock (San Miguel Island) State Marine Reserve,SMR,SC,101, ,34Á 02.211' N. lat. 120Á 28.200' W. long.;, ,34.03685,-120.47,120Á 28.200' W,34Á 2.211' N,3,101_3
Richardson Rock (San Miguel Island) State Marine Reserve,SMR,SC,101, ,34Á 02.211' N. lat. 120Á 31.467' W. long.;,thence northward along the three nautical mile offshore boundary to,34.03685,-120.52445,120Á 31.467' W,34Á 2.211' N,4,101_4
Richardson Rock (San Miguel Island) State Marine Reserve,SMR,SC,101, ,34Á 07.905' N. lat. 120Á 28.200' W. long., ,34.13175,-120.47,120Á 28.200' W,34Á 7.905' N,5,101_5
San Diego-Scripps Coastal State Marine Conservation Area,SMCA,SC,141,(A) This area is bounded by the mean high tide line and straight lines connecting the following points in the order listed:,32Á 53.000' N. lat. 117Á 15.166' W. long.;, ,32.883333,-117.252767,117Á 15.166' W,32Á 53.000' N,1,141_1
San Diego-Scripps Coastal State Marine Conservation Area,SMCA,SC,141, ,32Á 53.000' N. lat. 117Á 16.400' W. long.;, ,32.883333,-117.273333,117Á 16.400' W,32Á 53.000' N,2,141_2
San Diego-Scripps Coastal State Marine Conservation Area,SMCA,SC,141, ,32Á 51.964' N. lat. 117Á 16.400' W. long.;,and,32.866067,-117.273333,117Á 16.400' W,32Á 51.964' N,3,141_3
San Diego-Scripps Coastal State Marine Conservation Area,SMCA,SC,141, ,32Á 51.964' N. lat. 117Á 15.233' W. long., ,32.866067,-117.253883,117Á 15.233' W,32Á 51.964' N,4,141_4
San Dieguito Lagoon State Marine Conservation Area,SMCA,SC,140,(A) This area consists of waters below the mean high tide line within the San Dieguito Lagoon Ecological Reserve southeastward of a straight line between the following two points:,32Á 58.066' N. lat. 117Á 15.579' W. long., ,32.96776667,-117.25965,117Á 15.579' W,32Á 58.066' N,1,140_1
San Dieguito Lagoon State Marine Conservation Area,SMCA,SC,140, ,32Á 58.072' N. lat. 117Á 15.548' W. long., ,32.96786667,-117.2591333,117Á 15.548' W,32Á 58.072' N,2,140_2
San Elijo Lagoon State Marine Conservation Area,SMCA (No-Take),SC,139,(A) This area includes the waters below the mean high tide line within San Elijo Lagoon southeastward of a straight line between the following two points:,33Á 00.980' N. lat. 117Á 16.857' W. long.;,and,33.016333,-117.28095,117Á 16.857' W,33Á 0.980' N,1,139_1
San Elijo Lagoon State Marine Conservation Area,SMCA (No-Take),SC,139, ,33Á 00.962' N. lat. 117Á 16.850' W. long., ,33.016033,-117.280833,117Á 16.850' W,33Á 0.962' N,2,139_2
San Miguel Island Special Closure,Special Closure,SC,102,(A) Boating is allowed at San Miguel Island except west of a line drawn between Judith Rock,34Á 01.500' N. lat. 120Á 25.300' W. long., ,34.025,-120.421667,120Á 25.300' W,34Á 1.500' N,1,102_1
San Miguel Island Special Closure,Special Closure,SC,102,and Castle Rock,34Á 03.300' N. lat. 120Á 26.300' W. long.,where boats are prohibited closer than 300 yards from shore.,34.055,-120.438333,120Á 26.300' W,34Á 3.300' N,2,102_2
Santa Barbara Island State Marine Reserve,SMR,SC,116,(A) This area is bounded by the mean high tide line and straight lines connecting the following points in the order listed except where noted:,33¡ 28.500' N. lat. 119¡ 01.847' W. long.;, ,33.475,-119.030783,119¡ 1.847' W,33¡ 28.500' N,1,116_1
Santa Barbara Island State Marine Reserve,SMR,SC,116, ,33¡ 28.500' N. lat. 118¡ 58.051' W. long.;,thence along the three nautical mile offshore boundary to,33.475,-118.967517,118¡ 58.051' W,33¡ 28.500' N,2,116_2
Santa Barbara Island State Marine Reserve,SMR,SC,116, ,33¡ 24.842' N. lat. 119¡ 02.200' W. long.;,and,33.414033,-119.036667,119¡ 2.200' W,33¡ 24.842' N,3,116_3
Santa Barbara Island State Marine Reserve,SMR,SC,116, ,33Á 27.973' N. lat. 119Á 02.200' W. long., ,33.466217,-119.036667,119Á 2.200' W,33Á 27.973' N,4,116_4
Scorpion (Santa Cruz Island) State Marine Reserve,SMR,SC,110,(A) This area is bounded by the mean high tide line and straight lines connecting the following points in the order listed except where noted:,34Á 02.958' N. lat. 119Á 35.500' W. long.;, ,34.0493,-119.591667,119Á 35.500' W,34Á 2.958' N,1,110_1
Scorpion (Santa Cruz Island) State Marine Reserve,SMR,SC,110, ,34Á 06.202' N. lat. 119Á 35.500' W. long.;,thence eastward along the three nautical mile offshore boundary to,34.103367,-119.591667,119Á 35.500' W,34Á 6.202' N,2,110_2
Scorpion (Santa Cruz Island) State Marine Reserve,SMR,SC,110, ,34Á 06.245' N. lat. 119Á 32.800' W. long.;,and,34.104083,-119.546667,119Á 32.800' W,34Á 6.245' N,3,110_3
Scorpion (Santa Cruz Island) State Marine Reserve,SMR,SC,110, ,34Á 02.700' N. lat. 119Á 32.800' W. long., ,34.045,-119.546667,119Á 32.800' W,34Á 2.700' N,4,110_4
Skunk Point (Santa Rosa Island) State Marine Reserve,SMR,SC,106,(A) This area is bounded by the mean high tide line and straight lines connecting the following points in the order listed:,33Á 59.000' N. lat. 119Á 58.808' W. long.;, ,33.983333,-119.980133,119Á 58.808' W,33Á 59.000' N,6,106_6
Skunk Point (Santa Rosa Island) State Marine Reserve,SMR,SC,106, ,33Á 59.000' N. lat. 119Á 58.000' W. long.;, ,33.983333,-119.966667,119Á 58.000' W,33Á 59.000' N,7,106_7
Skunk Point (Santa Rosa Island) State Marine Reserve,SMR,SC,106, ,33Á 57.100' N. lat. 119Á 58.000' W. long.;,and,33.951667,-119.966667,119Á 58.000' W,33Á 57.100' N,8,106_8
Skunk Point (Santa Rosa Island) State Marine Reserve,SMR,SC,106, ,33Á 57.100' N. lat. 119Á 58.257' W. long., ,33.951667,-119.97095,119Á 58.257' W,33Á 57.100' N,9,106_9
South La Jolla State Marine Conservation Area,SMCA,SC,144,(A) This area is bounded by straight lines connecting the following points in the order listed except where noted:,32Á 49.573' N. lat. 117Á 19.000' W. long.;, ,32.826217,-117.316667,117Á 19.000' W,32Á 49.573' N,1,144_1
South La Jolla State Marine Conservation Area,SMCA,SC,144, ,32Á 49.573' N. lat. 117Á 20.528' W. long.;,thence southward along the three nautical mile offshore boundary to,32.826217,-117.342133,117Á 20.528' W,32Á 49.573' N,2,144_2
South La Jolla State Marine Conservation Area,SMCA,SC,144, ,32Á 47.945' N. lat. 117Á 20.068' W. long.;, ,32.799083,-117.334467,117Á 20.068' W,32Á 47.945' N,3,144_3
South La Jolla State Marine Conservation Area,SMCA,SC,144, ,32Á 47.945' N. lat. 117Á 19.000' W. long.;,and,32.799083,-117.316667,117Á 19.000' W,32Á 47.945' N,4,144_4
South La Jolla State Marine Conservation Area,SMCA,SC,144, ,32Á 49.573' N. lat. 117Á 19.000' W. long., ,32.826217,-117.316667,117Á 19.000' W,32Á 49.573' N,5,144_5
South La Jolla State Marine Reserve,SMR,SC,143,(A) This area is bounded by the mean high tide line and straight lines connecting the following points in the order listed:,32Á 49.573' N. lat. 117Á 16.781' W. long.;, ,32.826217,-117.279683,117Á 16.781' W,32Á 49.573' N,1,143_1
South La Jolla State Marine Reserve,SMR,SC,143, ,32Á 49.573' N. lat. 117Á 19.000' W. long.;, ,32.826217,-117.316667,117Á 19.000' W,32Á 49.573' N,2,143_2
South La Jolla State Marine Reserve,SMR,SC,143, ,32Á 47.945' N. lat. 117Á 19.000' W. long.;,and,32.799083,-117.316667,117Á 19.000' W,32Á 47.945' N,3,143_3
South La Jolla State Marine Reserve,SMR,SC,143, ,32Á 47.945' N. lat. 117Á 15.495' W. long., ,32.799083,-117.25825,117Á 15.495' W,32Á 47.945' N,4,143_4
South Point (Santa Rosa Island) State Marine Reserve,SMR,SC,107,(A) This area is bounded by the mean high tide line and straight lines connecting the following points in the order listed except where noted:,33Á 55.014' N. lat. 120Á 10.000' W. long.;, ,33.9169,-120.166667,120Á 10.000' W,33Á 55.014' N,1,107_1
South Point (Santa Rosa Island) State Marine Reserve,SMR,SC,107, ,33Á 51.506' N. lat. 120Á 10.000' W. long.;,thence eastward along the three nautical mile offshore boundary to,33.858433,-120.166667,120Á 10.000' W,33Á 51.506' N,2,107_2
South Point (Santa Rosa Island) State Marine Reserve,SMR,SC,107, ,33Á 50.657' N. lat. 120Á 06.500' W. long.;, ,33.844283,-120.108333,120Á 6.500' W,33Á 50.657' N,3,107_3
South Point (Santa Rosa Island) State Marine Reserve,SMR,SC,107, ,33Á 53.800' N. lat. 120Á 06.500' W. long.;,and,33.896667,-120.108333,120Á 6.500' W,33Á 53.800' N,4,107_4
South Point (Santa Rosa Island) State Marine Reserve,SMR,SC,107, ,33Á 53.800' N. lat. 120Á 06.544' W. long., ,33.896667,-120.109067,120Á 6.544' W,33Á 53.800' N,5,107_5
Swami's State Marine Conservation Area,SMCA,SC,138,(A) This area is bounded by the mean high tide line and straight lines connecting the following points in the order listed except where noted:,33Á 02.900' N. lat. 117Á 17.927' W. long.;, ,33.048333,-117.298783,117Á 17.927' W,33Á 2.900' N,1,138_1
Swami's State Marine Conservation Area,SMCA,SC,138, ,33Á 02.900' N. lat. 117Á 21.743' W. long.;,thence southward along the three nautical mile offshore boundary to,33.048333,-117.362383,117Á 21.743' W,33Á 2.900' N,2,138_2
Swami's State Marine Conservation Area,SMCA,SC,138, ,33Á 00.000' N. lat. 117Á 20.398' W. long.;,and,33,-117.339967,117Á 20.398' W,33Á 0.000' N,3,138_3
Swami's State Marine Conservation Area,SMCA,SC,138, ,33Á 00.000' N. lat. 117Á 16.698' W. long.;,thence northward along the mean high tide line onshore boundary to,33,-117.2783,117Á 16.698' W,33Á 0.000' N,4,138_4
Swami's State Marine Conservation Area,SMCA,SC,138, ,33Á 00.962' N. lat. 117Á 16.850' W. long.;,and,33.016033,-117.280833,117Á 16.850' W,33Á 0.962' N,5,138_5
Swami's State Marine Conservation Area,SMCA,SC,138, ,33Á 00.980' N. lat. 117Á 16.857' W. long., ,33.016333,-117.28095,117Á 16.857' W,33Á 0.980' N,6,138_6
Tijuana River Mouth State Marine Conservation Area,SMCA,SC,147,(A) This area is bounded by the mean high tide line and straight lines connecting the following points in the order listed except where noted:,32Á 34.000' N. lat. 117Á 07.980' W. long.;, ,32.566667,-117.133,117Á 7.980' W,32Á 34.000' N,6,147_6
Tijuana River Mouth State Marine Conservation Area,SMCA,SC,147, ,32Á 34.000' N. lat. 117Á 09.000' W. long.;, ,32.566667,-117.15,117Á 9.000' W,32Á 34.000' N,7,147_7
Tijuana River Mouth State Marine Conservation Area,SMCA,SC,147, ,32Á 31.970' N. lat. 117Á 09.000' W. long.;,thence eastward along the U.S./Mexico Border to,32.532833,-117.15,117Á 9.000' W,32Á 31.970' N,8,147_8
Tijuana River Mouth State Marine Conservation Area,SMCA,SC,147, ,32Á 32.060' N. lat. 117Á 07.480' W. long., ,32.534333,-117.124667,117Á 7.480' W,32Á 32.060' N,9,147_9
Upper Newport Bay State Marine Conservation Area,SMCA,SC,132,(A) This area includes the waters below the mean high tide line within Upper Newport Bay northeastward of Pacific Coast Highway approximated by a line between the following two points:,33Á 37.020' N. lat. 117Á 54.240' W. long.;, ,33.617,-117.904,117Á 54.240' W,33Á 37.020' N,1,132_1
Upper Newport Bay State Marine Conservation Area,SMCA,SC,132, ,33Á 37.020' N. lat. 117Á 54.320' W. long.;,and southwestward of Jamboree Road approximated by a line between the following two points:,33.617,-117.905333,117Á 54.320' W,33Á 37.020' N,2,132_2
Upper Newport Bay State Marine Conservation Area,SMCA,SC,132, ,33Á 39.070' N. lat. 117Á 52.020' W. long.;,and,33.651167,-117.867,117Á 52.020' W,33Á 39.070' N,3,132_3
Upper Newport Bay State Marine Conservation Area,SMCA,SC,132, ,33Á 39.030' N. lat. 117Á 52.010' W. long., ,33.6505,-117.866833,117Á 52.010' W,33Á 39.030' N,4,132_4
